Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Organization Industries,Lead Investors
Series A - OnPath Technologies,https://www.crunchbase.com/funding_round/onpath-technologies-series-a--00006645,"Marlton, New Jersey, United States, North America",OnPath Technologies,https://www.crunchbase.com/organization/onpath-technologies,Series A,8500000,USD,8500000,2007-03-17,"Cyber Security, Enterprise Software, Hardware, Software",
Series A - Arcjet,https://www.crunchbase.com/funding_round/arcjet-series-a--b572f694,"San Francisco, California, United States, North America",Arcjet,https://www.crunchbase.com/organization/arcjet,Series A,8500000,USD,8500000,2025-10-08,"Artificial Intelligence (AI), Cyber Security, Developer Tools, Infrastructure, Security","Ott Kaukver, Plural Platform"
Series A - Liminal,https://www.crunchbase.com/funding_round/one-world-identity-series-a--b61e6c20,"New York, New York, United States, North America",Liminal,https://www.crunchbase.com/organization/one-world-identity,Series A,8500000,USD,8500000,2025-04-10,"Artificial Intelligence (AI), Compliance, Cyber Security, Fraud Detection, Generative AI, Risk Management",Noro-Moseley Partners
Series A - Braintrace,https://www.crunchbase.com/funding_round/braintrace-series-a--aa675608,"Salt Lake City, Utah, United States, North America",Braintrace,https://www.crunchbase.com/organization/braintrace,Series A,8500000,USD,8500000,2019-03-01,"Cyber Security, Network Security",EPIC Ventures
Series A - SpecterOps,https://www.crunchbase.com/funding_round/specterops-series-a--8694d07d,"Alexandria, Virginia, United States, North America",SpecterOps,https://www.crunchbase.com/organization/specterops,Series A,8500000,USD,8500000,2023-07-11,"Cyber Security, Information Technology, Network Security, Training",Ballistic Ventures
Series A - WholeSecurity,https://www.crunchbase.com/funding_round/wholesecurity-series-a--53043be0,"Austin, Texas, United States, North America",WholeSecurity,https://www.crunchbase.com/organization/wholesecurity,Series A,8500000,USD,8500000,2003-01-01,"Cyber Security, Security, Software",
Series A - QuoIntelligence,https://www.crunchbase.com/funding_round/quointelligence-series-a--00c2bf18,"Frankfurt, Hessen, Germany, Europe",QuoIntelligence,https://www.crunchbase.com/organization/quointelligence,Series A,7300000,EUR,8557910,2026-04-27,"Artificial Intelligence (AI), Compliance, Cyber Security, Enterprise Software, Machine Learning, Risk Management, SaaS","BM H Beteiligungs-Managementgesellschaft Hessen, Elevator Ventures"
Series A - Procenne,https://www.crunchbase.com/funding_round/procenne-series-a--7d0b035b,"Istanbul, Istanbul, Turkey, Europe",Procenne,https://www.crunchbase.com/organization/procenne,Series A,8588739,USD,8588739,2022-08-24,"Cyber Security, Hardware, Network Security, Security",Turkcell
Series A - PeerNova,https://www.crunchbase.com/funding_round/peernova-series-a--961bc03c,"San Jose, California, United States, North America",PeerNova,https://www.crunchbase.com/organization/peernova,Series A,8600000,USD,8600000,2014-12-17,"Analytics, Big Data, CRM, Cyber Security, FinTech, Privacy, SaaS, Software",Mosaik Partners
Series A - Balbix,https://www.crunchbase.com/funding_round/balbix-series-a--dab95ed3,"San Jose, California, United States, North America",Balbix,https://www.crunchbase.com/organization/balbix,Series A,8600000,USD,8600000,2017-06-06,"Artificial Intelligence (AI), Cloud Security, Cyber Security, Network Security",Mayfield Fund
Series A - Mission Secure,https://www.crunchbase.com/funding_round/mission-secure-series-a--18d064a8,"Charlottesville, Virginia, United States, North America",Mission Secure,https://www.crunchbase.com/organization/mission-secure,Series A,8646000,USD,8646000,2018-10-10,"Cyber Security, Hardware","Chevron Technology Ventures, Energy Innovation Capital"
Series A - UpGuard,https://www.crunchbase.com/funding_round/upguard-series-a--6ee04c63,"Mountain View, California, United States, North America",UpGuard,https://www.crunchbase.com/organization/upguard,Series A,8730000,USD,8730000,2014-08-14,"Artificial Intelligence (AI), Cyber Security, Enterprise Software, Risk Management, SaaS, Software",August Capital
Series A - Eclypsium,https://www.crunchbase.com/funding_round/eclypsium-series-a--5214368b,"Portland, Oregon, United States, North America",Eclypsium,https://www.crunchbase.com/organization/eclypsium,Series A,8750000,USD,8750000,2018-12-04,"Cloud Computing, Cyber Security, Information Technology, Internet, Software",Madrona
Series A - Hackuity,https://www.crunchbase.com/funding_round/hackuity-series-a--93b96bc1,"Lyon, Rhone-Alpes, France, Europe",Hackuity,https://www.crunchbase.com/organization/hackuity,Series A,8000000,EUR,8773998,2022-03-15,"Cyber Security, Information Technology, SaaS, Software",Bright Pixel Capital
Series A - Protectt.ai,https://www.crunchbase.com/funding_round/protectt-ai-series-a--389f0824,"Gurugram, Haryana, India, Asia",Protectt.ai,https://www.crunchbase.com/organization/protectt-ai,Series A,760000000,INR,8778440,2025-03-18,"Cyber Security, Information Technology, Software",Bessemer Venture Partners
Series A - Verisoul,https://www.crunchbase.com/funding_round/verisoul-series-a--ac96037b,"Austin, Texas, United States, North America",Verisoul,https://www.crunchbase.com/organization/verisoul,Series A,8800000,USD,8800000,2025-12-16,"Artificial Intelligence (AI), B2B, Cyber Security, Fraud Detection, Identity Management, SaaS",High Alpha
Series A - Evident,https://www.crunchbase.com/funding_round/evident-id-series-a--cbfd955e,"Atlanta, Georgia, United States, North America",Evident,https://www.crunchbase.com/organization/evident-id,Series A,8800000,USD,8800000,2017-09-19,"Compliance, Cyber Security, Identity Management, Risk Management, Security, Software, Supply Chain Management",New Enterprise Associates
Series A - AttackIQ,https://www.crunchbase.com/funding_round/attackiq-series-a--134e42fa,"Los Altos, California, United States, North America",AttackIQ,https://www.crunchbase.com/organization/attackiq,Series A,8800000,USD,8800000,2016-11-30,"Cyber Security, Network Security, Security, Software",Index Ventures
Series A - Red Sift,https://www.crunchbase.com/funding_round/redsift-series-a--e2ee31ed,"London, England, United Kingdom, Europe",Red Sift,https://www.crunchbase.com/organization/redsift,Series A,8000000,EUR,8836215,2019-09-19,"Big Data, Cyber Security, Email, SaaS",MMC Ventures
Series A - Ennoventure,https://www.crunchbase.com/funding_round/ennoventure-series-a--d73cd89b,"Cambridge, Massachusetts, United States, North America",Ennoventure,https://www.crunchbase.com/organization/ennoventure,Series A,8900000,USD,8900000,2024-11-12,"Artificial Intelligence (AI), Brand Marketing, Cyber Security, SaaS",Tanglin Venture Partners
Series A - Portal26,https://www.crunchbase.com/funding_round/titaniam-series-a--301bf6de,"San Jose, California, United States, North America",Portal26,https://www.crunchbase.com/organization/titaniam,Series A,9000000,USD,9000000,2025-11-04,"Agentic AI, Cyber Security, Data Governance, Enterprise Software, Generative AI, Privacy",Shasta Ventures
Series A - Clarity Security,https://www.crunchbase.com/funding_round/clarity-security-series-a--2c9cb379,"Austin, Texas, United States, North America",Clarity Security,https://www.crunchbase.com/organization/clarity-security,Series A,9000000,USD,9000000,2025-05-20,"Cyber Security, Information Technology, Security, Software",Venture Guides
Series A - ZITADEL,https://www.crunchbase.com/funding_round/zitadel-series-a--c79b9d45,"San Francisco, California, United States, North America",ZITADEL,https://www.crunchbase.com/organization/zitadel,Series A,9000000,USD,9000000,2024-11-20,"Cyber Security, Information Services, Information Technology, Software",Nexus Venture Partners
Series A - Aqua Security,https://www.crunchbase.com/funding_round/aquasecurity-series-a--d8768d53,"Ramat Gan, Tel Aviv, Israel, Asia",Aqua Security,https://www.crunchbase.com/organization/aquasecurity,Series A,9000000,USD,9000000,2016-09-27,"Cloud Security, Cyber Security, Security, Virtualization",M12 - Microsoft's Venture Fund
Series A - Bastille Networks Internet Security,https://www.crunchbase.com/funding_round/bastille-networks-2-series-a--daa36da3,"San Francisco, California, United States, North America",Bastille Networks Internet Security,https://www.crunchbase.com/organization/bastille-networks-2,Series A,9000000,USD,9000000,2015-08-05,"Cyber Security, Internet of Things, Security, Wireless",Bessemer Venture Partners
Series A - Chorology.ai,https://www.crunchbase.com/funding_round/chorology-ai-series-a--d5970982,"San Jose, California, United States, North America",Chorology.ai,https://www.crunchbase.com/organization/chorology-ai,Series A,9000000,USD,9000000,2024-07-10,"Artificial Intelligence (AI), Compliance, Cyber Security, Data Governance",
Series A - CyberX,https://www.crunchbase.com/funding_round/cyberx-series-a--d0e8f150,"Waltham, Massachusetts, United States, North America",CyberX,https://www.crunchbase.com/organization/cyberx,Series A,9000000,USD,9000000,2016-08-01,"Cyber Security, Industrial, Network Security, Security",Flint Capital
Series A - CyberGRX,https://www.crunchbase.com/funding_round/cybergrx-series-a--a652b66d,"Denver, Colorado, United States, North America",CyberGRX,https://www.crunchbase.com/organization/cybergrx,Series A,9000000,USD,9000000,2016-07-14,"Analytics, Big Data, Cloud Security, Cyber Security, Enterprise Software, Information Technology, Network Security, Risk Management, Security, Software, Supply Chain Management",AllegisCyber
Series A - enSilo,https://www.crunchbase.com/funding_round/ensilo-series-a--09081c0f,"San Francisco, California, United States, North America",enSilo,https://www.crunchbase.com/organization/ensilo,Series A,9000000,USD,9000000,2016-02-25,Cyber Security,Rembrandt Venture Partners
Series A - spiderSilk,https://www.crunchbase.com/funding_round/spidersilk-series-a--014f485d,"Dubai, Dubai, United Arab Emirates, Asia",spiderSilk,https://www.crunchbase.com/organization/spidersilk,Series A,9000000,USD,9000000,2023-11-01,Cyber Security,Wa’ed Ventures
Series A - Device Authority,https://www.crunchbase.com/funding_round/cryptosoft-ltd-series-a--9aaca215,"Reading, Reading, United Kingdom, Europe",Device Authority,https://www.crunchbase.com/organization/cryptosoft-ltd,Series A,9000000,USD,9000000,2024-02-07,"Computer, Cyber Security, Information Services, Information Technology, Internet of Things, Network Security, Security, Software",Ten Eleven Ventures
Series A - True I/O,https://www.crunchbase.com/funding_round/total-network-service-series-a--d3729561,"Carlsbad, California, United States, North America",True I/O,https://www.crunchbase.com/organization/total-network-service,Series A,9000000,USD,9000000,2023-01-18,"Blockchain, Cyber Security, Information Technology, Innovation Management, Internet of Things, Smart Contracts, Web3, Web Hosting",Deal Box Ventures
Series A - infiniDome,https://www.crunchbase.com/funding_round/gpsdome-series-a--9c1fb4a7,"Caesarea, Hefa, Israel, Asia",infiniDome,https://www.crunchbase.com/organization/gpsdome,Series A,9000000,USD,9000000,2023-04-24,"Autonomous Vehicles, Cyber Security, Drones, GPS, Homeland Security, Navigation",Hanwha Aerospace
Series A - Instart,https://www.crunchbase.com/funding_round/instart-logic-series-a--113e8bad,"Palo Alto, California, United States, North America",Instart,https://www.crunchbase.com/organization/instart-logic,Series A,9000000,USD,9000000,2012-02-01,"Advertising, Artificial Intelligence (AI), Cloud Computing, Cyber Security, Digital Marketing, Digital Media, Internet, Mobile, Software",
Series A - Zorus,https://www.crunchbase.com/funding_round/zorus-inc-series-a--a53adf5e,"Monroe, Connecticut, United States, North America",Zorus,https://www.crunchbase.com/organization/zorus-inc,Series A,9000000,USD,9000000,2021-12-09,"Cyber Security, Information Technology",Asymmetric Capital Partners
Series A - Tala Security,https://www.crunchbase.com/funding_round/tala-security-series-a--2167c8e4,"Fremont, California, United States, North America",Tala Security,https://www.crunchbase.com/organization/tala-security,Series A,9000000,USD,9000000,2019-06-07,"Cyber Security, Information Technology, Security, Software",TechOperators Venture Capital
Series A - DisruptOps,https://www.crunchbase.com/funding_round/disruptops-series-a--98fa1489,"Kansas City, Missouri, United States, North America",DisruptOps,https://www.crunchbase.com/organization/disruptops,Series A,9000000,USD,9000000,2020-03-10,"Cloud Management, Cyber Security, Information Technology, Productivity Tools, SaaS, Software",Drive Capital
Series A - Rubica,https://www.crunchbase.com/funding_round/rubica-series-a--a34d5ef3,"Seattle, Washington, United States, North America",Rubica,https://www.crunchbase.com/organization/rubica,Series A,9000000,USD,9000000,2018-03-13,"Cyber Security, Mobile Devices, Network Security, Privacy, Security, Small and Medium Businesses, Software",Anonymous Trust
Series A - Perch Security,https://www.crunchbase.com/funding_round/perch-security-series-a--b76cf9df,"Tampa, Florida, United States, North America",Perch Security,https://www.crunchbase.com/organization/perch-security,Series A,9000000,USD,9000000,2018-10-04,"Cyber Security, Information Services, Information Technology, Network Security",Fishtech Labs
Series A - Altitude Networks,https://www.crunchbase.com/funding_round/altitude-networks-series-a--af289547,"San Francisco, California, United States, North America",Altitude Networks,https://www.crunchbase.com/organization/altitude-networks,Series A,9000000,USD,9000000,2019-07-31,"Cloud Security, Collaboration, Cyber Security, Internet, Software",Felicis
Series A - CTERA Networks,https://www.crunchbase.com/funding_round/ctera-networks-series-a--f0f5498b,"Petah Tiqva, HaMerkaz, Israel, Asia",CTERA Networks,https://www.crunchbase.com/organization/ctera-networks,Series A,9000000,USD,9000000,2009-01-06,"Cloud Data Services, Cloud Storage, Cyber Security, Data Storage, Enterprise Software, File Sharing, Information Technology",Benchmark
Series A - HackerOne,https://www.crunchbase.com/funding_round/hackerone-series-a--9692f58c,"San Francisco, California, United States, North America",HackerOne,https://www.crunchbase.com/organization/hackerone,Series A,9000000,USD,9000000,2014-05-29,"Artificial Intelligence (AI), Computer, Cyber Security, Generative AI, Internet, Network Security, Penetration Testing",Benchmark
Series A - Cyvatar.ai,https://www.crunchbase.com/funding_round/cyvatar-ai-inc-series-a--7dda21a3,"Irvine, California, United States, North America",Cyvatar.ai,https://www.crunchbase.com/organization/cyvatar-ai-inc,Series A,9000000,USD,9000000,2021-06-11,"Business Intelligence, Compliance, Cyber Security, Management Consulting, Software",ATX Venture Partners
Series A - Bulletproof,https://www.crunchbase.com/funding_round/bulletproof-series-a--775b6efd,"Seattle, Washington, United States, North America",Bulletproof,https://www.crunchbase.com/organization/bulletproof,Series A,9000000,USD,9000000,2015-06-23,"Consumer Goods, Cyber Security, Dietary Supplements, Food and Beverage, Hospitality",Trinity Ventures
Series A - Upstream Security,https://www.crunchbase.com/funding_round/upstream-security-series-a--ac715057,"Herzliya, Tel Aviv, Israel, Asia",Upstream Security,https://www.crunchbase.com/organization/upstream-security,Series A,9000000,USD,9000000,2017-12-13,"Automotive, Autonomous Vehicles, Cyber Security, Network Security",CRV
Series A - Newfront,https://www.crunchbase.com/funding_round/abe-4-series-a--2a7c66b1,"San Francisco, California, United States, North America",Newfront,https://www.crunchbase.com/organization/abe-4,Series A,9000000,USD,9000000,2018-09-01,"Commercial, Cyber Security, Financial Services, Insurance, InsurTech",Founders Fund
Series A - Cymmetria,https://www.crunchbase.com/funding_round/cymmetria-series-a--76a0d88b,"Palo Alto, California, United States, North America",Cymmetria,https://www.crunchbase.com/organization/cymmetria,Series A,9000000,USD,9000000,2015-11-10,"Cyber Security, Network Security, Security",ACME Capital
Series A - Conceal,https://www.crunchbase.com/funding_round/netabstraction-inc-series-a--aa25db96,"Augusta, Georgia, United States, North America",Conceal,https://www.crunchbase.com/organization/netabstraction-inc,Series A,9000000,USD,9000000,2021-05-19,"Cyber Security, Information Technology, Internet, Network Security, SaaS",AllegisCyber
Series A - Confluera,https://www.crunchbase.com/funding_round/confluera-series-a--dfe4a0c8,"Palo Alto, California, United States, North America",Confluera,https://www.crunchbase.com/organization/confluera,Series A,9000000,USD,9000000,2019-07-30,"Cyber Security, Information Technology, Network Security, Security, Software",Lightspeed Venture Partners
Series A - QuSecure,https://www.crunchbase.com/funding_round/qusecure-series-a--e9abbf0d,"San Mateo, California, United States, North America",QuSecure,https://www.crunchbase.com/organization/qusecure,Series A,9000000,USD,9000000,2022-10-03,"Cyber Security, Network Security, Security, Software",
Series A - Cognna,https://www.crunchbase.com/funding_round/cognna-series-a--07911f30,"Riyadh, Ar Riyad, Saudi Arabia, Asia",Cognna,https://www.crunchbase.com/organization/cognna,Series A,9200000,USD,9200000,2025-12-02,"Cyber Security, Network Security, Software","BNVT Capital, Impact46"
Series A - Bromium,https://www.crunchbase.com/funding_round/bromium-series-a--8195f984,"Cupertino, California, United States, North America",Bromium,https://www.crunchbase.com/organization/bromium,Series A,9200000,USD,9200000,2011-06-22,"Computer, Cyber Security, Enterprise, Security, Software",Andreessen Horowitz
Series A - BluSapphire,https://www.crunchbase.com/funding_round/blusapphire-technologies-series-a--e970f4ae,"Hyderabad, Telangana, India, Asia",BluSapphire,https://www.crunchbase.com/organization/blusapphire-technologies,Series A,9200000,USD,9200000,2022-10-27,"Computer, Cyber Security, Information Technology, Network Security, Risk Management",Baring Private Equity India
Series A - Corelight,https://www.crunchbase.com/funding_round/corelight-series-a--6f2ae3b9,"San Francisco, California, United States, North America",Corelight,https://www.crunchbase.com/organization/corelight,Series A,9200000,USD,9200000,2017-07-18,"Analytics, Cyber Security, Network Security, Security, Software",Accel
Series A - Castle,https://www.crunchbase.com/funding_round/castle-2-series-a--a0cf8010,"San Francisco, California, United States, North America",Castle,https://www.crunchbase.com/organization/castle-2,Series A,9200000,USD,9200000,2019-02-08,"Cyber Security, FinTech, Fraud Detection, Internet, Security",Index Ventures
Series A - Electric,https://www.crunchbase.com/funding_round/electric-series-a--5f0f72b0,"New York, New York, United States, North America",Electric,https://www.crunchbase.com/organization/electric,Series A,9250000,USD,9250000,2018-03-28,"Artificial Intelligence (AI), Cyber Security, Network Security, Technical Support",Bessemer Venture Partners
Series A - Qwiet,https://www.crunchbase.com/funding_round/shiftleft-series-a--0f3d37e4,"San Jose, California, United States, North America",Qwiet,https://www.crunchbase.com/organization/shiftleft,Series A,9300000,USD,9300000,2017-10-11,"Artificial Intelligence (AI), Cloud Security, Cyber Security, Developer Tools, Security, Software","Bain Capital Ventures, Mayfield Fund"
Series A - WireX Cube,https://www.crunchbase.com/funding_round/wirex-cube-systems-series-a--53e9d460,"Sunnyvale, California, United States, North America",WireX Cube,https://www.crunchbase.com/organization/wirex-cube-systems,Series A,9300000,USD,9300000,2015-07-21,"Analytics, Cyber Security, Information Technology, Network Security, Software",Vertex Ventures
Series A - Tugboat Logic,https://www.crunchbase.com/funding_round/tugboat-logic-series-a--8c9fd11d,"Burlingame, California, United States, North America",Tugboat Logic,https://www.crunchbase.com/organization/tugboat-logic,Series A,9300000,USD,9300000,2020-03-16,"Compliance, Cyber Security, Privacy, Project Management, Risk Management",Inovia Capital
Series A - Opscura,https://www.crunchbase.com/funding_round/enigmedia-series-a--041ec3f7,"Oakland, California, United States, North America",Opscura,https://www.crunchbase.com/organization/enigmedia,Series A,9400000,USD,9400000,2023-02-07,"Cyber Security, Information Technology, Software",Anzu Partners
Series A - Ionic Security,https://www.crunchbase.com/funding_round/ionic-security-series-a--050c2013,"Atlanta, Georgia, United States, North America",Ionic Security,https://www.crunchbase.com/organization/ionic-security,Series A,9400000,USD,9400000,2013-04-19,"Cyber Security, Information Technology, Intellectual Property, Security",Kleiner Perkins
Series A - tCell,https://www.crunchbase.com/funding_round/tcell-io-series-a--5649f01a,"San Francisco, California, United States, North America",tCell,https://www.crunchbase.com/organization/tcell-io,Series A,9400000,USD,9400000,2016-10-12,"Computer, Cyber Security, DevOps, Network Security",Menlo Ventures
Series A - Ostra Security,https://www.crunchbase.com/funding_round/ostra-series-a--cac8175a,"Eden Prairie, Minnesota, United States, North America",Ostra Security,https://www.crunchbase.com/organization/ostra,Series A,9500000,USD,9500000,2025-06-20,"Cyber Security, Information Services, Information Technology, Network Security, Software","Capital Four, General Catalyst, Rally Ventures"
Series A - Obsidian Security,https://www.crunchbase.com/funding_round/obsidian-security-series-a--bd5ae491,"Newport Beach, California, United States, North America",Obsidian Security,https://www.crunchbase.com/organization/obsidian-security,Series A,9500000,USD,9500000,2017-06-08,"Artificial Intelligence (AI), Cloud Security, Cyber Security, Enterprise Software, Identity Management",Greylock
Series A - Defense.Net,https://www.crunchbase.com/funding_round/defense-net-series-a--332e4929,"Belmont, California, United States, North America",Defense.Net,https://www.crunchbase.com/organization/defense-net,Series A,9500000,USD,9500000,2013-08-06,"Cloud Computing, Cyber Security, Information Technology, Security",Bessemer Venture Partners
Series A - EverC,https://www.crunchbase.com/funding_round/evercompliant-series-a--fb433d09,"New York, New York, United States, North America",EverC,https://www.crunchbase.com/organization/evercompliant,Series A,9500000,USD,9500000,2016-12-14,"Artificial Intelligence (AI), Compliance, Cyber Security, FinTech, Fraud Detection, Information Technology, Machine Learning, Risk Management, Security",Arbor Ventures
Series A - Anbai Technology,https://www.crunchbase.com/funding_round/anbai-technology-series-a--90c60007,"Beijing, Beijing, China, Asia",Anbai Technology,https://www.crunchbase.com/organization/anbai-technology,Series A,9500000,USD,9500000,2018-03-13,"Cloud Computing, Computer, Cyber Security, Internet",Binhai
Series A - UncommonX,https://www.crunchbase.com/funding_round/uncommonx-series-a--672215a3,"Chicago, Illinois, United States, North America",UncommonX,https://www.crunchbase.com/organization/uncommonx,Series A,9500000,USD,9500000,2021-12-14,"Analytics, Big Data, Cyber Security, Data Visualization, Enterprise Software, Information Technology, Network Security, Security, Software",Chris Galvin
Series A - Deepfence Inc,https://www.crunchbase.com/funding_round/deepfence-series-a--d56dd145,"Palo Alto, California, United States, North America",Deepfence Inc,https://www.crunchbase.com/organization/deepfence,Series A,9500000,USD,9500000,2020-11-18,"Cloud Security, Cyber Security, Network Security, Security, Software",AllegisCyber
Series A - Mine,https://www.crunchbase.com/funding_round/saymine-technologies-mine-series-a--128d2b0b,"Tel Aviv, Tel Aviv, Israel, Asia",Mine,https://www.crunchbase.com/organization/saymine-technologies-mine,Series A,9500000,USD,9500000,2020-10-21,"Big Data, Cyber Security, Information Technology, Internet, Mobile Apps, Network Security, Privacy, Risk Management, Software",Gradient
Series A - GoSecure (formerly CounterTack),https://www.crunchbase.com/funding_round/gosecure-inc-series-a--2e49cc92,"San Diego, California, United States, North America",GoSecure (formerly CounterTack),https://www.crunchbase.com/organization/gosecure-inc,Series A,9500000,USD,9500000,2011-11-17,"Cloud Security, Cyber Security, Network Security, Security, Software",Fairhaven Capital Partners
Series A - Onapsis,https://www.crunchbase.com/funding_round/onapsis-series-a--091ada59,"Boston, Massachusetts, United States, North America",Onapsis,https://www.crunchbase.com/organization/onapsis,Series A,9600000,USD,9600000,2014-06-18,"Cloud Data Services, Compliance, Cyber Security, Enterprise Resource Planning (ERP), Network Security, Security",.406 Ventures
Series A - Podium Data,https://www.crunchbase.com/funding_round/podium-data-series-a--817475fa,"Lowell, Massachusetts, United States, North America",Podium Data,https://www.crunchbase.com/organization/podium-data,Series A,9700000,USD,9700000,2016-09-26,"Analytics, Cyber Security, Data Management, Enterprise, Information Technology, Intelligent Systems",Malibu Ventures
Series A - Source Defense,https://www.crunchbase.com/funding_round/source-defense-series-a--7426038a,"Rosh Ha'ayin, HaMerkaz, Israel, Asia",Source Defense,https://www.crunchbase.com/organization/source-defense,Series A,9700000,USD,9700000,2018-09-26,"Cyber Security, Fraud Detection, Real Time","AllegisCyber, Jerusalem Venture Partners (JVP)"
Series A - Signal Sciences,https://www.crunchbase.com/funding_round/signal-sciences-series-a--583c683c,"Culver City, California, United States, North America",Signal Sciences,https://www.crunchbase.com/organization/signal-sciences,Series A,9700000,USD,9700000,2016-02-25,"Cyber Security, DevOps, Information Technology, SaaS, Security, Software, Web Apps",Index Ventures
Series A - Caspida,https://www.crunchbase.com/funding_round/caspida-series-a--64d71813,"Palo Alto, California, United States, North America",Caspida,https://www.crunchbase.com/organization/caspida,Series A,9724994,USD,9724994,2014-03-03,"Analytics, Cyber Security, Real Time, SaaS, Software","Redpoint, True Ventures"
Series A - Evident.io,https://www.crunchbase.com/funding_round/evident-io-series-a--af0dd1f7,"Pleasanton, California, United States, North America",Evident.io,https://www.crunchbase.com/organization/evident-io,Series A,9900000,USD,9900000,2014-11-11,"Cloud Security, Cyber Security, Developer Tools, DevOps, Information Technology, Security, Software",Bain Capital Ventures
Series A - NetBird,https://www.crunchbase.com/funding_round/netbird-series-a--0322f7c0,"Berlin, Berlin, Germany, Europe",NetBird,https://www.crunchbase.com/organization/netbird,Series A,8500000,EUR,9904105,2026-01-13,"Cyber Security, IaaS, Information Services, Information Technology",Pace Capital
Series A - Bodyguard,https://www.crunchbase.com/funding_round/bodyguard-series-a--33e76e01,"Nice, Provence-Alpes-Cote d'Azur, France, Europe",Bodyguard,https://www.crunchbase.com/organization/bodyguard,Series A,9000000,EUR,9912025,2022-03-10,"Apps, Artificial Intelligence (AI), Cyber Security, Internet, Risk Management, Social Media, Software","Keen Venture Partners, Ring Capital"
Series A - BOXX Insurance,https://www.crunchbase.com/funding_round/boxx-insurance-series-a--9435e0f6,"Toronto, Ontario, Canada, North America",BOXX Insurance,https://www.crunchbase.com/organization/boxx-insurance,Series A,12700000,CAD,9932351,2021-09-22,"Cyber Security, Financial Services, Risk Management, Service Industry",
Series A - Sitehop,https://www.crunchbase.com/funding_round/sitehop-series-a--fa1f0a55,"Sheffield, Sheffield, United Kingdom, Europe",Sitehop,https://www.crunchbase.com/organization/sitehop,Series A,7500000,GBP,9977239,2025-10-09,"Cyber Security, Information Technology, Software",Northern Gritstone
Series A - Tidal Cyber,https://www.crunchbase.com/funding_round/tidal-cyber-series-a--dbbb9a07,"Washington, District of Columbia, United States, North America",Tidal Cyber,https://www.crunchbase.com/organization/tidal-cyber,Series A,10000000,USD,10000000,2025-09-03,"Cyber Security, Information Technology, Network Security",Bright Pixel Capital
Series A - Allure Security Technology,https://www.crunchbase.com/funding_round/allure-security-technology-inc-series-a--6295b73a,"Waltham, Massachusetts, United States, North America",Allure Security Technology,https://www.crunchbase.com/organization/allure-security-technology-inc,Series A,10000000,USD,10000000,2024-04-03,"Artificial Intelligence (AI), Big Data, Cloud Security, Cyber Security, Mobile, Risk Management, Software",Curql
Series A - Qunnect,https://www.crunchbase.com/funding_round/qunnect-series-a--bf2ead82,"New York, New York, United States, North America",Qunnect,https://www.crunchbase.com/organization/qunnect,Series A,10000000,USD,10000000,2025-06-24,"Cyber Security, Information Technology, Optical Communication, Quantum Computing, Telecommunications",Airbus Ventures
Series A - Reach Security,https://www.crunchbase.com/funding_round/reach-security-series-a--ecdcb238,"San Francisco, California, United States, North America",Reach Security,https://www.crunchbase.com/organization/reach-security,Series A,10000000,USD,10000000,2025-07-29,Cyber Security,M12 - Microsoft's Venture Fund
Series A - Operant AI,https://www.crunchbase.com/funding_round/operant-ai-series-a--fc292cd7,"San Francisco, California, United States, North America",Operant AI,https://www.crunchbase.com/organization/operant-ai,Series A,10000000,USD,10000000,2024-09-12,"Artificial Intelligence (AI), Cloud Data Services, Cloud Security, Cyber Security, Network Security","Felicis, SineWave Ventures"
Series A - CultureAI,https://www.crunchbase.com/funding_round/cultureai-series-a--88f15a64,"Manchester, Manchester, United Kingdom, Europe",CultureAI,https://www.crunchbase.com/organization/cultureai,Series A,10000000,USD,10000000,2024-07-17,"Cyber Security, Information Technology, Security, Software","Mercia Ventures, Smedvig Ventures"
Series A - ThreatWarrior,https://www.crunchbase.com/funding_round/threatwarrior-series-a--a233e64c,"Austin, Texas, United States, North America",ThreatWarrior,https://www.crunchbase.com/organization/threatwarrior,Series A,10000000,USD,10000000,2021-07-01,"Analytics, Artificial Intelligence (AI), Cloud Security, Cyber Security, Machine Learning, Network Security",Ecliptic Capital
Series A - Rubrik,https://www.crunchbase.com/funding_round/rubrik-series-a--a3b172fb,"Palo Alto, California, United States, North America",Rubrik,https://www.crunchbase.com/organization/rubrik,Series A,10000000,USD,10000000,2015-03-24,"Cloud Computing, Cloud Data Services, Cyber Security, Data Management, Information Technology, Security, Software",Lightspeed Venture Partners
Series A - Orchestra Group,https://www.crunchbase.com/funding_round/orchestra-group-series-a--a5d9c958,"Tel Aviv, Tel Aviv, Israel, Asia",Orchestra Group,https://www.crunchbase.com/organization/orchestra-group,Series A,10000000,USD,10000000,2022-01-01,"Artificial Intelligence (AI), Cyber Security, Information Technology, Network Security",
Series A - Verodin,https://www.crunchbase.com/funding_round/verodin-series-a--ce2ec7e1,"Mclean, Virginia, United States, North America",Verodin,https://www.crunchbase.com/organization/verodin,Series A,10000000,USD,10000000,2016-06-28,"Cloud Security, Compliance, Cyber Security, Intrusion Detection, Network Security, Penetration Testing, Security, Software",Rally Ventures
