Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Organization Industries,Lead Investors
Series A - Styra,https://www.crunchbase.com/funding_round/styra-series-a--eac77a52,"Redwood City, California, United States, North America",Styra,https://www.crunchbase.com/organization/styra,Series A,14000000,USD,14000000,2019-11-12,"Cloud Infrastructure, Cloud Management, Cloud Security, Cyber Security, Software",Accel
Series A - Survela,https://www.crunchbase.com/funding_round/survela-series-a--bcf2a2f7,"Los Altos, California, United States, North America",Survela,https://www.crunchbase.com/organization/survela,Series A,14000000,USD,14000000,2016-08-03,"Cyber Security, Enterprise, Enterprise Software, Information Technology, Internet, Security, Software, Wireless",Trident Capital
Series A - Bridgecrew,https://www.crunchbase.com/funding_round/bridgecrew-series-a--22e49865,"San Francisco, California, United States, North America",Bridgecrew,https://www.crunchbase.com/organization/bridgecrew,Series A,14000000,USD,14000000,2020-04-16,"Cloud Data Services, Cloud Security, Cyber Security",Battery Ventures
Series A - Clear Skye,https://www.crunchbase.com/funding_round/clear-skye-inc-series-a--5bb7ca4f,"Emeryville, California, United States, North America",Clear Skye,https://www.crunchbase.com/organization/clear-skye-inc,Series A,14000000,USD,14000000,2022-03-24,"Compliance, Cyber Security, Information Technology","Storm Ventures, Toba Capital"
Series A - 4iQ,https://www.crunchbase.com/funding_round/4iq-series-a--4b9b749e,"Los Altos, California, United States, North America",4iQ,https://www.crunchbase.com/organization/4iq,Series A,14000000,USD,14000000,2016-10-04,"Artificial Intelligence (AI), Cyber Security, Information Technology, Internet, Security, Software",Forgepoint Capital
Series A - Vera,https://www.crunchbase.com/funding_round/veradocs-series-a--311c6335,"Palo Alto, California, United States, North America",Vera,https://www.crunchbase.com/organization/veradocs,Series A,14000000,USD,14000000,2014-11-18,"Cyber Security, Enterprise Software, Information Technology, Security",Battery Ventures
Series A - ArmorCode,https://www.crunchbase.com/funding_round/armorcode-inc-series-a--27fff2e0,"Palo Alto, California, United States, North America",ArmorCode,https://www.crunchbase.com/organization/armorcode-inc,Series A,14000000,USD,14000000,2022-11-16,"Cyber Security, Information Technology, Network Security, Software",Ballistic Ventures
Series A - BigID,https://www.crunchbase.com/funding_round/bigid-series-a--d3b7199c,"New York, New York, United States, North America",BigID,https://www.crunchbase.com/organization/bigid,Series A,14000000,USD,14000000,2018-01-29,"Artificial Intelligence (AI), Big Data, Cyber Security, Risk Management, Software",ClearSky
Series A - Banyan Security,https://www.crunchbase.com/funding_round/banyanops-series-a--8b597b7f,"San Francisco, California, United States, North America",Banyan Security,https://www.crunchbase.com/organization/banyanops,Series A,14000000,USD,14000000,2019-11-21,"Cyber Security, Enterprise Software, Information Technology, Security, Software",Shasta Ventures
Series A - Axis Security,https://www.crunchbase.com/funding_round/axis-security-series-a--dfb91c63,"San Mateo, California, United States, North America",Axis Security,https://www.crunchbase.com/organization/axis-security,Series A,14000000,USD,14000000,2020-03-17,"Cloud Security, Cyber Security, Information Technology, Network Security, Software",Ten Eleven Ventures
